"Fish: Retail Prices of Agricultural Commodities"

"Region/Province","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2014 January","2014 February","2014 March","2014 April","2014 May","2014 June","2014 July","2014 August","2014 September","2014 October","2014 November","2014 December","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2017 January","2017 February","2017 March","2017 April","2017 May","2017 June","2017 July","2017 August","2017 September","2017 October","2017 November","2017 December"
"PHILIPPINES","FRESH FISH, CAESIO, DALAGANG-BUKID, MEDIUM, 1 KG",149.33,150.70,148.16,148.94,146.38,147.42,147.92,150.91,149.98,150.75,152.14,153.34,154.43,154.49,156.39,154.88,154.03,152.24,153.41,153.75,153.07,153.46,154.36,154.89,157.46,157.88,156.95,155.48,158.60,156.78,157.38,159.49,158.82,164.00,162.58,162.44,172.33,175.81,173.37,172.24,172.64,172.81,171.57,171.81,171.98,166.58,171.01,168.10,173.78,175.45,173.99,175.99,175.20,174.14,175.53,173.46,173.67,173.85,175.22,174.59,179.28,182.56,183.59,183.97,186.77,185.55,187.03,186.89,188.51,188.44,186.91,189.98
"PHILIPPINES","FRESH FISH, DALAG, MEDIUM, 1 KG",133.17,129.98,131.42,134.25,132.78,131.15,131.33,134.48,134.29,136.54,136.90,137.77,138.78,138.87,138.58,140.45,141.77,141.72,141.16,140.73,141.16,142.14,143.33,143.25,144.31,145.41,145.46,145.59,145.37,145.96,146.93,147.61,148.84,149.59,148.90,148.00,151.01,150.51,150.35,149.92,149.10,152.84,159.66,160.87,163.68,167.46,170.51,170.84,170.79,170.99,170.56,169.33,173.11,169.86,174.08,174.43,171.30,176.00,179.51,172.45,174.83,174.72,174.36,176.92,180.90,181.29,182.05,183.50,188.33,191.13,183.65,182.63
"PHILIPPINES","FRESH FISH, DILIS (ANCHOVIES), 1 KG",93.48,93.27,93.01,95.51,94.37,95.93,97.24,98.21,98.26,98.92,98.80,99.56,99.93,99.81,99.06,98.04,96.61,96.59,97.42,97.47,97.50,98.19,99.29,98.44,100.22,102.27,100.90,100.13,101.35,100.80,100.97,103.04,102.76,104.44,105.44,105.68,106.07,105.40,105.00,104.83,101.72,101.80,103.76,103.14,102.60,102.82,104.99,106.56,106.58,106.25,103.29,102.00,102.84,102.54,102.63,102.79,103.74,104.05,105.40,106.22,108.83,109.39,109.04,110.58,109.50,108.65,107.48,107.43,107.04,107.51,109.47,111.53
"PHILIPPINES","FRESH FISH, DILIS (ANCHOVIES), BOLINAO, 1 KG",110.99,121.08,105.94,105.94,84.50,97.11,105.94,102.16,100.90,100.90,100.27,114.77,113.51,113.51,118.55,109.73,97.11,99.89,100.90,100.90,76.68,82.74,90.81,96.86,110.99,110.99,95.85,85.76,98.88,82.74,78.70,66.59,68.61,70.63,58.52,68.61,80.72,80.72,103.42,103.42,98.37,100.90,105.94,118.55,116.03,108.46,125.11,119.82,121.08,121.08,116.03,113.51,116.03,116.03,114.77,122.34,126.12,131.17,121.08,112.25,93.33,100.00,85.00,80.00,76.67,105.00,90.00,80.00,83.33,78.33,93.33,100.00
"PHILIPPINES","FRESH FISH, GROUPER, LAPU-LAPU, MEDIUM, 1 KG",219.65,216.62,220.71,228.04,225.64,221.57,222.77,226.22,225.06,221.21,223.63,224.74,230.16,227.85,229.64,229.09,231.23,232.15,231.36,228.77,227.03,228.06,232.18,237.86,240.47,244.27,240.83,240.57,244.00,245.86,246.84,248.55,247.18,247.13,254.92,254.67,256.22,261.14,262.41,262.41,252.99,246.15,250.13,242.56,244.97,243.22,247.07,255.30,253.34,248.33,255.97,249.61,252.40,263.15,263.79,255.42,262.74,255.08,268.74,271.19,279.20,286.93,293.76,283.98,270.23,281.30,277.80,276.69,283.61,280.57,288.04,286.55
"PHILIPPINES","FRESH FISH, MACKEREL, ALUMAHAN, MEDIUM, 1 KG",125.74,122.68,110.89,118.75,109.38,112.50,113.13,114.38,113.75,127.50,140.00,122.50,130.00,120.00,113.75,118.75,111.88,112.50,117.50,120.63,120.00,134.38,130.63,131.25,132.50,130.63,115.00,120.63,116.25,118.13,121.88,124.38,120.63,113.75,125.63,133.13,140.63,138.13,121.88,129.38,120.00,106.88,109.38,117.50,123.75,123.75,123.75,131.25,136.25,133.75,145.00,131.50,120.63,114.38,121.25,121.88,120.00,118.13,132.50,132.50,136.25,136.50,133.33,136.00,136.00,120.00,136.00,140.00,136.00,128.00,120.00,184.00
"PHILIPPINES","FRESH FISH, MACKEREL, HASA-HASA, MEDIUM, 1 KG",126.49,127.88,125.07,129.21,123.69,127.76,125.27,133.55,129.85,129.95,130.26,131.74,132.90,136.30,132.68,132.37,127.89,130.26,127.88,129.42,129.20,131.90,132.96,134.38,133.39,136.90,133.13,130.00,130.08,129.74,130.49,131.93,131.10,132.70,131.32,133.02,139.98,142.58,142.75,145.67,140.07,141.87,141.99,141.52,141.64,141.33,143.50,139.90,142.95,146.35,140.94,136.49,137.89,140.20,137.48,142.12,137.36,140.83,143.09,147.43,152.72,157.95,156.14,156.61,155.05,155.18,153.61,155.50,156.52,153.18,164.23,169.60
"PHILIPPINES","FRESH FISH, MILKFISH, BANGUS, DAGUPAN, MEDIUM, 1 KG",147.60,140.49,140.49,145.38,138.04,137.37,134.04,135.37,136.71,137.37,136.71,136.04,137.37,140.71,138.71,137.37,134.04,130.04,128.71,124.70,120.70,123.37,131.37,125.37,132.04,130.71,128.04,130.71,130.71,127.37,127.37,126.04,124.38,123.12,123.12,124.36,126.23,126.23,124.97,124.97,128.71,130.00,133.13,130.63,127.50,122.50,124.38,120.00,131.88,131.88,130.00,127.50,128.75,127.50,123.13,120.00,127.50,125.00,123.75,125.00,132.50,127.50,126.25,133.75,127.50,127.50,127.50,125.00,127.50,122.50,127.50,128.75
"PHILIPPINES","FRESH FISH, MILKFISH, BANGUS, MEDIUM, 1 KG",126.93,127.44,128.29,129.96,129.23,129.31,128.73,130.74,129.86,130.30,130.59,130.36,131.56,131.93,131.48,130.91,130.65,129.47,128.57,128.33,127.83,128.54,129.53,130.13,131.57,132.13,130.63,130.34,130.00,129.49,129.61,130.38,130.22,131.39,131.16,132.09,135.03,134.27,133.89,135.78,134.93,134.75,136.84,136.26,135.42,134.71,134.70,134.68,135.21,134.74,135.46,135.36,134.82,134.65,133.14,133.71,132.54,133.11,133.98,134.58,138.43,137.90,136.87,138.42,139.55,139.45,139.53,140.95,141.36,142.08,143.10,144.98
"PHILIPPINES","FRESH FISH, NEMIMTERID, BISUGO, MEDIUM, 1 KG",142.40,141.16,141.79,143.42,143.70,145.03,144.71,149.08,148.17,148.90,147.80,149.10,154.42,152.60,149.26,149.57,144.74,143.33,144.04,141.29,144.23,148.50,148.22,146.38,150.16,152.55,152.55,150.15,150.78,151.95,152.02,149.10,147.87,150.37,151.59,150.46,160.50,163.18,156.57,158.00,159.32,156.82,156.25,157.75,156.57,157.83,161.38,156.91,168.58,162.55,155.70,158.12,155.82,162.09,160.59,161.46,164.86,166.38,170.17,170.22,177.68,183.65,180.10,181.32,183.50,188.51,188.72,188.66,190.60,189.37,186.53,194.59
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, CAESIO, DALAGANG-BUKID, MEDIUM, 1 KG",174.79,172.82,170.89,173.71,171.59,168.40,167.53,182.74,174.88,177.44,174.47,178.98,184.52,180.72,181.77,178.85,177.60,175.26,177.23,176.97,175.41,180.23,186.27,187.05,192.82,190.30,191.11,189.59,189.70,190.92,190.98,194.44,188.70,190.33,188.16,187.82,198.37,197.46,200.20,196.95,183.72,180.50,175.32,164.32,165.04,163.38,161.27,165.63,169.72,171.53,168.30,168.52,173.20,175.24,173.79,173.73,170.21,177.00,178.65,183.90,197.39,208.77,216.92,215.78,221.90,228.07,224.36,229.77,236.40,231.64,238.34,245.54
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, DALAG, MEDIUM, 1 KG",174.51,173.55,172.42,172.42,172.42,172.42,172.42,172.84,174.54,178.51,178.51,178.53,175.62,173.76,173.76,173.76,174.78,175.68,174.76,174.65,178.05,181.45,179.74,175.75,177.32,177.32,177.32,177.32,177.32,177.32,178.31,178.31,178.31,178.31,178.31,181.71,191.93,188.32,185.42,185.90,181.34,184.89,183.09,184.99,181.97,188.71,190.80,197.05,197.06,202.61,214.20,211.99,214.54,214.54,213.91,213.07,214.12,225.00,241.79,222.03,221.62,222.71,216.99,220.33,235.56,235.56,235.56,234.22,236.44,248.89,254.44,253.33
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, DILIS (ANCHOVIES), 1 KG",105.73,102.74,104.45,104.99,105.74,104.99,107.64,109.65,107.75,107.60,110.72,114.63,113.87,112.31,112.37,116.73,116.78,115.33,115.35,116.86,114.80,117.96,118.66,117.39,119.56,121.74,115.81,113.23,119.52,117.61,120.69,117.25,116.09,115.92,115.65,118.17,123.23,118.67,114.51,116.84,107.53,109.24,110.19,110.59,106.04,101.87,105.82,109.39,109.33,116.62,103.58,108.76,115.66,104.59,105.48,106.01,117.92,113.00,117.99,113.61,117.23,116.90,114.69,117.36,123.01,124.64,120.36,117.71,120.00,119.64,122.00,126.43
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, DILIS (ANCHOVIES), BOLINAO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, GROUPER, LAPU-LAPU, MEDIUM, 1 KG",312.39,307.86,307.08,302.01,283.30,288.81,286.95,310.79,282.97,277.12,284.29,291.26,314.24,302.77,309.79,292.45,276.56,275.07,282.87,281.47,282.80,290.00,308.53,312.81,320.29,304.10,307.66,294.21,301.20,298.33,307.35,300.30,308.25,308.74,297.23,306.67,337.43,359.72,349.63,337.98,327.03,301.26,298.99,302.11,302.88,297.70,294.61,321.47,312.68,296.92,301.55,295.50,304.68,306.60,303.70,305.15,309.55,318.00,326.82,373.28,389.13,388.57,381.43,382.08,362.45,369.90,348.65,372.62,375.77,371.44,385.85,431.15
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, MACKEREL, ALUMAHAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, MACKEREL, HASA-HASA, MEDIUM, 1 KG",139.94,147.29,147.09,149.53,144.85,147.25,149.92,169.81,160.79,159.15,155.95,161.35,164.72,159.72,153.59,156.30,153.84,151.92,150.68,150.15,153.95,160.92,162.74,163.58,167.78,170.44,171.36,168.26,168.99,172.63,174.16,171.86,171.10,173.53,171.56,178.38,189.78,200.27,202.49,198.23,180.60,182.43,189.32,186.23,183.76,178.97,165.49,171.05,182.00,192.60,186.97,178.39,182.05,188.61,188.80,195.55,183.19,191.00,196.96,211.03,224.76,236.15,226.19,228.68,238.68,229.19,232.28,233.94,235.35,236.99,246.29,269.47
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, MILKFISH, BANGUS, DAGUPAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, MILKFISH, BANGUS, MEDIUM, 1 KG",117.12,117.50,117.21,118.84,117.44,116.24,115.17,116.60,117.25,121.78,117.59,118.43,117.71,117.53,116.73,115.58,114.94,109.69,109.16,106.74,108.98,109.26,109.03,108.02,109.10,107.75,105.68,106.16,107.01,108.20,107.68,107.54,107.07,107.04,106.25,106.13,110.46,109.68,114.44,119.00,116.32,115.98,119.20,118.83,120.58,120.08,123.45,121.53,122.84,124.41,123.83,122.76,122.07,120.97,118.13,115.41,115.44,117.00,117.52,116.87,122.49,121.82,120.39,123.41,126.52,126.00,126.39,127.53,129.22,129.56,131.20,136.11
"..NATIONAL CAPITAL REGION (NCR)","FRESH FISH, NEMIMTERID, BISUGO, MEDIUM, 1 KG",169.29,165.63,169.67,169.12,163.58,162.18,167.68,182.52,179.47,178.35,175.66,177.45,185.26,180.05,176.01,170.82,174.77,174.29,176.51,178.29,175.37,179.12,180.29,181.43,191.79,190.50,191.34,191.32,191.22,187.44,192.15,190.48,191.71,196.44,195.80,196.91,206.32,222.42,218.02,216.96,210.41,210.04,199.38,205.94,193.25,189.40,182.87,190.87,200.14,204.23,194.78,204.58,197.94,206.04,216.78,213.01,212.92,221.00,219.09,222.59,237.36,252.60,256.47,253.46,265.46,274.13,273.46,280.92,284.38,287.79,280.00,293.69
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, CAESIO, DALAGANG-BUKID, MEDIUM, 1 KG",176.33,176.33,176.33,177.17,178.00,178.00,183.00,183.00,183.00,183.00,183.00,198.00,198.00,198.00,198.00,196.33,198.00,198.00,196.33,194.67,193.00,185.92,185.92,186.75,185.08,191.75,190.08,193.83,198.00,199.67,201.33,203.00,203.00,199.33,198.00,198.00,198.67,201.33,198.67,203.33,198.67,206.33,207.00,204.33,203.67,207.67,216.67,210.00,205.42,193.33,193.33,193.33,193.33,195.00,191.67,190.00,198.33,182.92,180.83,180.83,187.50,189.17,190.83,190.00,186.67,190.00,195.00,203.33,205.42,204.17,201.67,193.33
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, DALAG, MEDIUM, 1 KG",113.52,112.26,114.78,114.78,115.61,115.61,113.61,113.11,115.31,117.61,119.78,119.78,119.78,119.78,119.78,119.78,126.27,126.27,122.94,122.94,122.94,122.10,122.10,122.10,122.10,122.10,117.94,117.94,117.94,120.44,122.10,117.94,120.44,120.44,120.44,120.44,120.44,120.44,120.44,120.44,122.10,122.10,122.10,122.10,122.10,132.48,132.48,132.48,130.82,130.82,132.48,132.48,131.23,131.86,131.86,131.86,131.86,131.86,131.86,133.16,134.77,134.77,135.52,147.10,157.82,157.82,158.44,161.04,161.04,154.50,155.75,155.75
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, DILIS (ANCHOVIES), 1 KG",118.19,118.19,118.19,119.92,121.67,121.67,132.09,132.09,132.09,132.09,132.09,132.09,132.09,132.09,132.09,128.62,132.09,132.09,132.09,132.09,132.09,131.22,131.22,129.49,129.49,129.49,129.49,130.36,139.05,142.53,142.53,146.00,151.67,168.33,168.33,168.33,138.33,121.67,125.00,128.33,130.00,128.33,130.00,131.67,131.67,143.33,150.00,148.33,136.67,143.33,128.33,133.33,137.50,138.33,141.67,141.67,141.67,141.67,140.83,140.83,144.17,144.17,148.33,148.33,147.50,140.00,139.17,138.33,138.33,138.33,137.50,140.00
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, DILIS (ANCHOVIES), BOLINAO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, GROUPER, LAPU-LAPU, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, MACKEREL, ALUMAHAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, MACKEREL, HASA-HASA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, MILKFISH, BANGUS, DAGUPAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, MILKFISH, BANGUS, MEDIUM, 1 KG",132.33,132.92,134.98,135.98,139.27,138.60,144.51,146.28,144.72,143.58,143.86,141.79,140.69,142.45,142.66,140.21,139.72,142.19,138.80,138.30,138.48,138.38,137.86,138.79,140.86,139.99,138.10,138.71,137.81,137.72,139.30,139.26,140.00,139.52,138.86,139.20,139.46,141.79,140.27,140.06,141.37,142.20,142.44,143.81,142.12,143.16,141.42,143.48,144.17,143.01,143.39,144.11,144.90,146.18,144.14,144.48,143.91,144.33,145.48,145.36,144.85,144.93,144.31,145.00,146.59,145.92,145.34,144.72,143.38,145.80,147.77,147.65
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","FRESH FISH, NEMIMTERID, BISUGO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, CAESIO, DALAGANG-BUKID, MEDIUM, 1 KG",175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,215.00,210.00,205.00,185.00,185.00,190.00,185.00,205.00,200.00,210.00,210.00,210.00,215.00,215.00,215.00,210.00,210.00,210.00,210.00,210.00,220.00,240.00,240.00,245.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,240.00,240.00,240.00,240.00,235.00,240.00,250.00,200.00,190.00,190.00,210.00,210.00,210.00,212.50,205.00,225.00,240.00,265.00,265.00,265.00,252.50,227.50
"....Abra","FRESH FISH, DALAG, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, DILIS (ANCHOVIES), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, DILIS (ANCHOVIES), BOLINAO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, GROUPER, LAPU-LAPU, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, MACKEREL, ALUMAHAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, MACKEREL, HASA-HASA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, MILKFISH, BANGUS, DAGUPAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH FISH, MILKFISH, BANGUS, MEDIUM, 1 KG",127.94,127.94,127.94,126.25,130.00,128.75,139.38,151.25,146.25,145.00,152.50,156.25,151.25,151.25,151.25,151.25,147.50,148.75,147.50,147.50,147.50,148.13,147.50,148.75,148.75,147.50,147.50,147.50,145.00,146.25,145.00,146.25,140.00,141.25,141.25,141.25,140.00,147.50,145.00,145.00,148.13,149.38,149.38,150.63,150.63,154.38,147.50,151.25,152.50,152.50,151.25,151.25,152.50,152.50,148.75,148.75,150.00,148.75,148.75,150.00,152.50,152.50,153.75,155.00,155.00,148.75,150.00,150.00,151.25,151.25,151.25,151.25
"....Abra","FRESH FISH, NEMIMTERID, BISUGO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, CAESIO, DALAGANG-BUKID, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, DALAG, MEDIUM, 1 KG",125.82,123.30,128.33,128.33,130.00,130.00,126.00,125.00,132.00,134.00,138.33,138.33,138.33,138.33,138.33,138.33,138.33,138.33,131.67,131.67,131.67,130.00,130.00,130.00,130.00,130.00,121.67,121.67,121.67,126.67,130.00,121.67,126.67,126.67,126.67,126.67,126.67,126.67,126.67,126.67,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,126.67,126.67,130.00,130.00,127.50,128.75,128.75,128.75,128.75,128.75,128.75,128.75,129.38,129.38,129.58,129.38,128.75,128.75,130.00,130.00,130.00,132.50,135.00,135.00
"....Apayao","FRESH FISH, DILIS (ANCHOVIES), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, DILIS (ANCHOVIES), BOLINAO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, GROUPER, LAPU-LAPU, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, MACKEREL, ALUMAHAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, MACKEREL, HASA-HASA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, MILKFISH, BANGUS, DAGUPAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH FISH, MILKFISH, BANGUS, MEDIUM, 1 KG",136.10,139.91,145.00,145.00,150.00,150.00,150.00,150.00,150.00,150.00,138.57,138.57,138.86,138.86,138.86,132.86,138.57,142.86,134.29,134.29,132.86,132.86,132.86,132.86,132.86,132.86,128.57,132.86,130.00,130.71,139.29,130.71,136.43,133.57,131.43,132.86,135.71,137.14,134.29,134.29,137.14,137.14,140.71,141.43,140.00,140.00,140.00,140.00,137.50,137.50,138.75,141.25,143.75,146.25,146.25,146.25,147.50,147.50,149.38,149.38,146.25,145.63,143.33,141.25,143.75,143.13,145.00,143.75,141.25,147.50,148.75,148.75
"....Apayao","FRESH FISH, NEMIMTERID, BISUGO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
